"symbol","date","open","high","low","close","volume","adjusted","stockpricemove"
"TSLA",2010-06-29,1.26666700839996,1.66666698455811,1.16933298110962,1.59266698360443,281494500,1.59266698360443,25.7368332041952
"TSLA",2010-06-30,1.71933305263519,2.02800011634827,1.55333304405212,1.58866703510284,257806500,1.58866703510284,-7.59980838686716
"TSLA",2010-07-01,1.66666698455811,1.72800004482269,1.35133302211761,1.46399998664856,123282000,1.46399998664856,-12.1600175552335
"TSLA",2010-07-02,1.53333294391632,1.53999996185303,1.24733304977417,1.27999997138977,77097000,1.27999997138977,-16.5217197955394
"TSLA",2010-07-06,1.33333301544189,1.33333301544189,1.05533301830292,1.07400000095367,103003500,1.07400000095367,-19.4499807238533
"TSLA",2010-07-07,1.09333300590515,1.10866701602936,0.998667001724243,1.05333304405212,103825500,1.05333304405212,-3.65853419196031
"TSLA",2010-07-08,1.07599997520447,1.16799998283386,1.03799998760223,1.16400003433228,115671000,1.16400003433228,8.17844434532495
"TSLA",2010-07-09,1.17200005054474,1.19333302974701,1.10333299636841,1.1599999666214,60759000,1.1599999666214,-1.02389790151991
"TSLA",2010-07-12,1.19666695594788,1.20466697216034,1.13333296775818,1.13666701316833,33037500,1.13666701316833,-5.01392158288646
"TSLA",2010-07-13,1.15933299064636,1.24266695976257,1.12666702270508,1.20933294296265,40201500,1.20933294296265,4.31282062355594
"TSLA",2010-07-14,1.19599997997284,1.34333300590515,1.18400001525879,1.32266700267792,62928000,1.32266700267792,10.590888363389
"TSLA",2010-07-15,1.32933294773102,1.43333303928375,1.26666700839996,1.32599997520447,56097000,1.32599997520447,-0.250725187564124
"TSLA",2010-07-16,1.37999999523163,1.41999995708466,1.33666694164276,1.37600004673004,39319500,1.37600004673004,-0.289851341696239
"TSLA",2010-07-19,1.42466700077057,1.48333299160004,1.3946670293808,1.46066701412201,37297500,1.46066701412201,2.52690722337001
"TSLA",2010-07-20,1.45666694641113,1.45666694641113,1.33666694164276,1.35333299636841,27379500,1.35333299636841,-7.09386248499109
"TSLA",2010-07-21,1.3773330450058,1.39333295822144,1.29999995231628,1.34800004959106,18787500,1.34800004959106,-2.12969517583965
"TSLA",2010-07-22,1.36666703224182,1.41666698455811,1.35800004005432,1.39999997615814,14367000,1.39999997615814,2.43899524389952
"TSLA",2010-07-23,1.41266703605652,1.43733298778534,1.40400004386902,1.41933298110962,9804000,1.41933298110962,0.471869512274362
"TSLA",2010-07-26,1.43333303928375,1.43333303928375,1.35333299636841,1.39666700363159,13833000,1.39666700363159,-2.55809603541149
"TSLA",2010-07-27,1.39400005340576,1.41199994087219,1.35066699981689,1.37000000476837,9295500,1.37000000476837,-1.72166769855957
"TSLA",2010-07-28,1.37000000476837,1.39333295822144,1.36733305454254,1.38133299350739,7008000,1.38133299350739,0.827225452523247
"TSLA",2010-07-29,1.38466703891754,1.39199995994568,1.33333301544189,1.35666704177856,9240000,1.35666704177856,-2.02214657762533
"TSLA",2010-07-30,1.34666705131531,1.36266696453094,1.30333304405212,1.32933294773102,6403500,1.32933294773102,-1.28718554206544
"TSLA",2010-08-02,1.36666703224182,1.39800000190735,1.3553329706192,1.3946670293808,10771500,1.3946670293808,2.04877973042542
"TSLA",2010-08-03,1.39999997615814,1.46333301067352,1.38800001144409,1.46333301067352,18457500,1.46333301067352,4.52378825670972
"TSLA",2010-08-04,1.46333301067352,1.47866702079773,1.38999998569489,1.41733300685883,13695000,1.41733300685883,-3.14350892648318
"TSLA",2010-08-05,1.43599998950958,1.43666696548462,1.33666694164276,1.36333298683167,11943000,1.36333298683167,-5.06037626802034
"TSLA",2010-08-06,1.3400000333786,1.34399998188019,1.30133295059204,1.30599999427795,11128500,1.30599999427795,-2.53731628759151
"TSLA",2010-08-09,1.3266669511795,1.33200001716614,1.29666697978973,1.30666697025299,12190500,1.30666697025299,-1.50753592744074
"TSLA",2010-08-10,1.30999994277954,1.30999994277954,1.25466704368591,1.26866698265076,19219500,1.26866698265076,-3.15518793390818
"TSLA",2010-08-11,1.24600005149841,1.2586669921875,1.19000005722046,1.19333302974701,11964000,1.19333302974701,-4.22688760631009
"TSLA",2010-08-12,1.18666696548462,1.19333302974701,1.15933299064636,1.1733330488205,10365000,1.1733330488205,-1.12364437975891
"TSLA",2010-08-13,1.21200001239777,1.23000001907349,1.17733299732208,1.22133302688599,9510000,1.22133302688599,0.770050692471215
"TSLA",2010-08-16,1.23000001907349,1.25333297252655,1.21733295917511,1.25199997425079,7287000,1.25199997425079,1.78861421432163
"TSLA",2010-08-17,1.26400005817413,1.29333305358887,1.25199997425079,1.27666699886322,6718500,1.27666699886322,1.00213133750836
"TSLA",2010-08-18,1.30599999427795,1.30599999427795,1.24000000953674,1.25133299827576,9019500,1.25133299827576,-4.18583432172378
"TSLA",2010-08-19,1.23599994182587,1.28333294391632,1.22200000286102,1.25266695022583,8686500,1.25266695022583,1.3484635262476
"TSLA",2010-08-20,1.24333298206329,1.27400004863739,1.23399996757507,1.27333295345306,4440000,1.27333295345306,2.41286701330692
"TSLA",2010-08-23,1.27266705036163,1.35933303833008,1.26666700839996,1.34200000762939,16321500,1.34200000762939,5.44784727852112
"TSLA",2010-08-24,1.28333294391632,1.31400001049042,1.26333296298981,1.27999997138977,10096500,1.27999997138977,-0.259712223733549
"TSLA",2010-08-25,1.27733302116394,1.33200001716614,1.23733305931091,1.3266669511795,7549500,1.3266669511795,3.86226060065444
"TSLA",2010-08-26,1.32599997520447,1.35133302211761,1.30666697025299,1.31666696071625,6507000,1.31666696071625,-0.703847259633702
"TSLA",2010-08-27,1.31666696071625,1.32466697692871,1.29999995231628,1.31333303451538,5694000,1.31333303451538,-0.253209528326973
