"date","stock","tesla_open","tesla_close","tesla_volume","tesla_stock_move","index","index_open","index_close","index_volume","index_move","tesla_index_diff"
2010-06-29,"TSLA",1.26666700839996,1.59266698360443,281494500,25.7368332041952,"^GSPC",1071.09997558594,1041.23999023438,6136700000,-2.78778695100126,28.5246201551965
2010-06-30,"TSLA",1.71933305263519,1.58866703510284,257806500,-7.59980838686716,"^GSPC",1040.56005859375,1030.7099609375,5067080000,-0.946615005534786,-6.65319338133238
2010-07-01,"TSLA",1.66666698455811,1.46399998664856,123282000,-12.1600175552335,"^GSPC",1031.09997558594,1027.36999511719,6435770000,-0.361747702169267,-11.7982698530642
2010-07-02,"TSLA",1.53333294391632,1.27999997138977,77097000,-16.5217197955394,"^GSPC",1027.65002441406,1022.58001708984,3968500000,-0.493359334770563,-16.0283604607689
2010-07-06,"TSLA",1.33333301544189,1.07400000095367,103003500,-19.4499807238533,"^GSPC",1028.08996582031,1028.06005859375,4691240000,-0.0029090087012606,-19.447071715152
2010-07-07,"TSLA",1.09333300590515,1.05333304405212,103825500,-3.65853419196031,"^GSPC",1028.5400390625,1060.27001953125,4931220000,3.08495335754468,-6.74348754950499
2010-07-08,"TSLA",1.07599997520447,1.16400003433228,115671000,8.17844434532495,"^GSPC",1062.92004394531,1070.25,4548460000,0.689605591355715,7.48883875396923
2010-07-09,"TSLA",1.17200005054474,1.1599999666214,60759000,-1.02389790151991,"^GSPC",1070.5,1077.9599609375,3506570000,0.696866972209248,-1.72076487372916
2010-07-12,"TSLA",1.19666695594788,1.13666701316833,33037500,-5.01392158288646,"^GSPC",1077.22998046875,1078.75,3426990000,0.141104458547336,-5.1550260414338
2010-07-13,"TSLA",1.15933299064636,1.20933294296265,40201500,4.31282062355594,"^GSPC",1080.65002441406,1095.33996582031,4640460000,1.35936159481558,2.95345902874036
2010-07-14,"TSLA",1.19599997997284,1.32266700267792,62928000,10.590888363389,"^GSPC",1095.60998535156,1095.17004394531,4521050000,-0.0401549284993811,10.6310432918884
